0volume,0s_area,0demand,0up_spill,0ww_inflow,0catch_inflow,0evap,0ds_spill,1volume,1s_area,1demand,1up_spill,1ww_inflow,1catch_inflow,1evap,1ds_spill,1alloc_0,1alloc_1,1alloc_2,1alloc_3,2volume,2demand,2up_spill,2ww_inflow,2catch_inflow,2evap,2ds_spill,2alloc_1,2alloc_2,2alloc_3,3volume,3s_area,3demand,3up_spill,3ww_inflow,3catch_inflow,3evap,3ds_spill,4volume,4demand,4up_spill,4ww_inflow,4catch_inflow,4evap,4ds_spill,4alloc_1,4alloc_2,4alloc_3,5volume,5demand,5up_spill,5ww_inflow,5catch_inflow,5evap,5ds_spill,6volume,6demand,6up_spill,6ww_inflow,6catch_inflow,6evap,6ds_spill,9demand,10demand,11demand,12demand
1049,1,47.0491,0,0,1176.07,-0.395333,1129.42,9100,1,101.951,1129.42,0,2552.94,-24.8241,3605.23,2273.08,3463.38,3363.54,10825,36639,516.838,5289.92,0,2881.76,160.723,7494.12,8060.58,28578.4,14000,0,1,0,13009.8,0,0,0,13009.8,-2190,0,8036.53,0,1368.06,0,9404.59,2190,2920,2190,0,0,1228.16,0,4061.76,0,5289.92,1500,28.732,0,0,1255.91,-0.981655,1228.16,35,35,35,35
1049,1,53.6802,0,0,1585.65,0.0198268,1531.95,9100,1,116.32,1531.95,0,4182.82,1.24498,5597.21,2273.08,3463.38,3363.54,10825,36639,554.989,4916.61,0,5173.97,33.643,9501.95,8060.58,28578.4,14000,0,1,0,19478.6,0,0,0,19478.6,-2190,0,9976.64,0,3904.78,0,13881.4,2190,2920,2190,0,0,2008.74,0,2907.87,0,4916.61,1500,30.301,0,0,2039.09,0.0492321,2008.74,35,35,35,35
1049,1,49.891,0,0,1614.57,2.52432,1562.15,9100,1,108.109,1562.15,0,4651.87,158.509,5947.41,2273.08,3463.38,3363.54,10825,36639,577.787,4031.12,0,5519.72,51.0631,8921.99,8060.58,28578.4,14000,0,1,0,19714.3,0,0,0,19714.3,-2190,0,9431.24,0,4335.65,0,13766.9,2190,2920,2190,0,0,1313.09,0,2718.03,0,4031.12,1500,30.3732,0,0,1349.73,6.26815,1313.09,35,35,35,35
1049,1,50.8383,0,0,772.44,-0.0996181,721.701,9100,1,110.162,721.701,0,4673.54,-6.2553,5291.33,2273.08,3463.38,3363.54,10825,36639,555.762,2285.82,0,4828.18,-90.7429,6648.98,8060.58,28578.4,14000,0,1,0,15580.4,0,0,0,15580.4,-2190,0,7178.13,0,3110.97,0,10289.1,2190,2920,2190,0,0,1078.8,0,1207.02,0,2285.82,1500,31.5185,0,0,1110.07,-0.247362,1078.8,35,35,35,35
1049,1,55.5748,0,0,693.32,-2.8366,640.582,9100,1,120.425,640.582,0,2894.69,-178.118,3592.96,2273.08,3463.38,3363.54,10825,36639,488.805,1978.43,0,3023.98,109.396,4404.21,8060.58,28578.4,14000,0,1,0,11055.3,0,0,0,11055.3,-2190,0,4915.19,0,2547.11,0,7462.3,2190,2920,2190,0,0,968.609,0,1009.82,0,1978.43,1500,28.0448,0,0,989.61,-7.04359,968.609,35,35,35,35
1049,1,58.4167,0,0,255.84,-0.453719,197.877,9100,1,126.583,197.877,0,1152.22,-28.4903,1252,2273.08,3463.38,3363.54,10825,36639,503.502,466.738,0,1224.78,-47.8555,1235.87,8060.58,28578.4,14000,0,1,0,3991.04,0,0,0,3991.04,-2190,0,1631.73,0,1107.31,0,2739.04,2190,2920,2190,0,0,352.168,0,114.57,0,466.738,1500,26.6485,0,0,377.69,-1.12663,352.168,35,35,35,35
1049,1,51.7856,0,0,224.96,4.77695,168.397,9100,1,112.214,168.397,0,546.48,299.958,302.705,2273.08,3463.38,3363.54,10825,36639,575.655,284.393,0,621.88,-81.6612,490,8060.58,28578.4,13922.3,0,1,0,2355.67,0,0,0,2355.67,-2190,0,887.612,0,1165.35,0,2052.96,2190,2920,2190,0,0,156.653,0,127.74,0,284.393,1500,35.1851,0,0,203.7,11.8617,156.653,35,35,35,35
1049,1,59.9955,0,0,177.82,-3.77563,121.6,9100,1,130.004,121.6,0,1271.44,-237.083,1500.12,2273.08,3463.38,3363.54,10825,36639,613.765,227.53,0,1346.03,-47.0728,929.148,8060.58,28578.4,14000,0,1,0,3895.1,0,0,0,3895.1,-2190,0,1387.28,0,1007.7,0,2394.98,2190,2920,2190,0,0,126.33,0,101.2,0,227.53,1500,33.2349,0,0,150.19,-9.37531,126.33,35,35,35,35
1049,1,67.8897,0,0,276.85,-15.9969,224.957,9100,1,147.11,224.957,0,2618.23,-1004.49,3700.57,2273.08,3463.38,3363.54,10825,36639,629.478,1017.83,0,2781.71,-563.449,3733.51,8060.58,28578.4,14000,0,1,0,12291.4,0,0,0,12291.4,-2190,0,4218.76,0,4372.07,0,8590.83,2190,2920,2190,0,0,763.451,0,254.38,0,1017.83,1500,30.9615,0,0,754.69,-39.7221,763.451,35,35,35,35
1049,1,51.4699,0,0,170.86,5.92935,113.461,9100,1,111.53,113.461,0,592.74,372.32,222.35,2273.08,3463.38,3363.54,10825,36639,730.43,142.247,0,1109.98,127.537,490,8060.58,28578.4,13904.3,0,1,0,5394.35,0,0,0,5394.35,-2190,0,964.982,0,4207.02,0,5172,2190,2920,2190,0,0,49.3266,0,92.92,0,142.247,1500,34.9702,0,0,99.02,14.7232,49.3266,35,35,35,35
