0st_vol,0capacity,0net_inf,0st_rof,0st_stor_rof,0st_trmt_rof,0lt_rof,0lt_stor_rof,0lt_trmt_rof,0rest_demand,0unrest_demand,0unfulf_demand,0wastewater,0treat_capacity,0cont_fund,0ins_pout,0ins_price,0infra_npv,0debt_serv,0stor_vol,0obs_ann_dem,0proj_dem,0pv_debt_serv,0gross_rev,1st_vol,1capacity,1net_inf,1st_rof,1st_stor_rof,1st_trmt_rof,1lt_rof,1lt_stor_rof,1lt_trmt_rof,1rest_demand,1unrest_demand,1unfulf_demand,1wastewater,1treat_capacity,1cont_fund,1ins_pout,1ins_price,1infra_npv,1debt_serv,1stor_vol,1obs_ann_dem,1proj_dem,1pv_debt_serv,1gross_rev,2st_vol,2capacity,2net_inf,2st_rof,2st_stor_rof,2st_trmt_rof,2lt_rof,2lt_stor_rof,2lt_trmt_rof,2rest_demand,2unrest_demand,2unfulf_demand,2wastewater,2treat_capacity,2cont_fund,2ins_pout,2ins_price,2infra_npv,2debt_serv,2stor_vol,2obs_ann_dem,2proj_dem,2pv_debt_serv,2gross_rev
3322.08,3322.08,1467.31,0,0,0,0,0,0,149,149,0,0,1108,1,0,0,0,0,3322.08,0,0,0,1.6706,9560.58,9560.58,1714.62,0,0,0,0,0,0,183.13,183.13,0,179.227,137999,1,0,0,0,0,9560.58,0,0,0,1.37385,28578.4,28578.4,1626.34,0,0,0,0,0,0,362.44,362.44,0,363.189,61999.4,1,0,0,0,0,28578.4,0,0,0,1.74756
3322.08,3322.08,2062.83,0,0,0,0,0,0,170,170,0,0,1108,1,0,0,0,0,3322.08,0,0,0,1.90606,9560.58,9560.58,2862.67,0,0,0,0,0,0,193.13,193.13,0,159.34,137999,1,0,0,0,0,9560.58,0,0,0,1.44887,28578.4,28578.4,2919.96,0,0,0,0,0,0,392.16,392.16,0,315.355,61999.4,1,0,0,0,0,28578.4,0,0,0,1.89086
3322.08,3322.08,2145.26,0,0,0,0,0,0,158,158,0,0,1108,1,0,0,0,0,3322.08,0,0,0,1.83056,9560.58,9560.58,2228.34,0,0,0,0,0,0,193.59,193.59,0,168.04,137999,1,0,0,0,0,9560.58,0,0,0,1.48076,28578.4,28578.4,3115.09,0,0,0,0,0,0,414.57,414.57,0,341.215,61999.4,1,0,0,0,0,28578.4,0,0,0,1.96849
3322.08,3322.08,1305.61,0,0,0,0,0,0,161,161,0,0,1108,1,0,0,0,0,3322.08,0,0,0,1.86532,9560.58,9560.58,1878.61,0,0,0,0,0,0,200.89,200.89,0,168.441,137999,1,0,0,0,0,9560.58,0,0,0,1.53659,28578.4,28578.4,2724.81,0,0,0,0,0,0,386.39,386.39,0,360.713,61999.4,1,0,0,0,0,28578.4,0,0,0,1.83468
3322.08,3322.08,1023.55,0,0,0,0,0,0,176,176,0,0,1108,1,0,0,0,0,3322.08,0,0,0,2.03911,9560.58,9560.58,1470.96,0,0,0,0,0,0,178.75,178.75,0,174.792,137999,1,0,0,0,0,9560.58,0,0,0,1.36725,28578.4,28578.4,1706.6,0,0,0,0,0,0,338.1,338.1,0,336.194,61999.4,1,0,0,0,0,28578.4,0,0,0,1.60539
3322.08,3322.08,387.287,0,0,0,0,0,0,185,185,0,0,1108,1,0,0,0,0,3322.08,0,0,0,2.14338,9560.58,9560.58,572.647,0,0,0,0,0,0,169.85,169.85,0,136.905,137999,1,0,0,0,0,9560.58,0,0,0,1.29917,28578.4,28578.4,691.212,0,0,0,0,0,0,360.3,360.3,0,258.951,61999.4,1,0,0,0,0,28578.4,0,0,0,1.7108
3322.08,3322.08,287.303,0,0,0,0,0,0,164,164,0,0,1108,1,0,0,0,0,3322.08,0,0,0,1.83573,9560.58,9560.58,302.689,0,0,0,0,0,0,224.26,224.26,0,127.388,137999,1,0,0,0,0,9560.58,0,0,0,1.68067,28578.4,28578.4,350.962,0,0,0,0,0,0,386.58,386.58,0,270.225,61999.4,1,0,0,0,0,28578.4,0,0,0,1.75529
3322.08,3322.08,322.868,0,0,0,0,0,0,190,190,0,0,1108,1,0,0,0,0,3322.08,0,0,0,2.12676,9560.58,9560.58,364.447,0,0,0,0,0,0,211.83,211.83,0,168.195,137999,1,0,0,0,0,9560.58,0,0,0,1.58751,28578.4,28578.4,759.64,0,0,0,0,0,0,435.17,435.17,0,289.935,61999.4,1,0,0,0,0,28578.4,0,0,0,1.97592
3322.08,3322.08,575.542,0,0,0,0,0,0,215,215,0,0,1108,1,0,0,0,0,3322.08,0,0,0,2.4066,9560.58,9560.58,1197.48,0,0,0,0,0,0,197.34,197.34,0,158.873,137999,1,0,0,0,0,9560.58,0,0,0,1.47892,28578.4,28578.4,1569.87,0,0,0,0,0,0,463.1,463.1,0,326.378,61999.4,1,0,0,0,0,28578.4,0,0,0,2.10274
3322.08,3322.08,238.481,0,0,0,0,0,0,163,163,0,0,1108,1,0,0,0,0,3322.08,0,0,0,1.82454,9560.58,9560.58,275.704,0,0,0,0,0,0,222.89,222.89,0,141.925,137999,1,0,0,0,0,9560.58,0,0,0,1.6704,28578.4,28578.4,626.424,0,0,0,0,0,0,542.51,542.51,0,333.057,61999.4,1,0,0,0,0,28578.4,0,0,0,2.4633
